2025-05-05 06:50:18 startup archives unpack
2025-05-05 06:50:18 upgrade google-chrome-stable:amd64 135.0.7049.114-1 136.0.7103.59-1
2025-05-05 06:50:18 status half-configured google-chrome-stable:amd64 135.0.7049.114-1
2025-05-05 06:50:18 status unpacked google-chrome-stable:amd64 135.0.7049.114-1
2025-05-05 06:50:18 status half-installed google-chrome-stable:amd64 135.0.7049.114-1
2025-05-05 06:50:25 status triggers-pending gnome-menus:amd64 3.36.0-1.1ubuntu3
2025-05-05 06:50:25 status triggers-pending desktop-file-utils:amd64 0.27-2build1
2025-05-05 06:50:25 status triggers-pending man-db:amd64 2.12.0-4build2
2025-05-05 06:50:25 status unpacked google-chrome-stable:amd64 136.0.7103.59-1
2025-05-05 06:50:25 upgrade netplan-generator:amd64 1.1.1-1~ubuntu24.04.1 1.1.2-2~ubuntu24.04.1
2025-05-05 06:50:25 status half-configured netplan-generator:amd64 1.1.1-1~ubuntu24.04.1
2025-05-05 06:50:25 status unpacked netplan-generator:amd64 1.1.1-1~ubuntu24.04.1
2025-05-05 06:50:25 status half-installed netplan-generator:amd64 1.1.1-1~ubuntu24.04.1
2025-05-05 06:50:25 status unpacked netplan-generator:amd64 1.1.2-2~ubuntu24.04.1
2025-05-05 06:50:25 upgrade python3-netplan:amd64 1.1.1-1~ubuntu24.04.1 1.1.2-2~ubuntu24.04.1
2025-05-05 06:50:25 status half-configured python3-netplan:amd64 1.1.1-1~ubuntu24.04.1
2025-05-05 06:50:26 status unpacked python3-netplan:amd64 1.1.1-1~ubuntu24.04.1
2025-05-05 06:50:26 status half-installed python3-netplan:amd64 1.1.1-1~ubuntu24.04.1
2025-05-05 06:50:26 status unpacked python3-netplan:amd64 1.1.2-2~ubuntu24.04.1
2025-05-05 06:50:26 upgrade netplan.io:amd64 1.1.1-1~ubuntu24.04.1 1.1.2-2~ubuntu24.04.1
2025-05-05 06:50:26 status half-configured netplan.io:amd64 1.1.1-1~ubuntu24.04.1
2025-05-05 06:50:26 status unpacked netplan.io:amd64 1.1.1-1~ubuntu24.04.1
2025-05-05 06:50:26 status half-installed netplan.io:amd64 1.1.1-1~ubuntu24.04.1
2025-05-05 06:50:26 status triggers-pending dbus:amd64 1.14.10-4ubuntu4.1
2025-05-05 06:50:26 status unpacked netplan.io:amd64 1.1.2-2~ubuntu24.04.1
2025-05-05 06:50:26 upgrade libnetplan1:amd64 1.1.1-1~ubuntu24.04.1 1.1.2-2~ubuntu24.04.1
2025-05-05 06:50:26 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.4
2025-05-05 06:50:26 status half-configured libnetplan1:amd64 1.1.1-1~ubuntu24.04.1
2025-05-05 06:50:26 status unpacked libnetplan1:amd64 1.1.1-1~ubuntu24.04.1
2025-05-05 06:50:26 status half-installed libnetplan1:amd64 1.1.1-1~ubuntu24.04.1
2025-05-05 06:50:26 status unpacked libnetplan1:amd64 1.1.2-2~ubuntu24.04.1
2025-05-05 06:50:26 upgrade poppler-utils:amd64 24.02.0-1ubuntu9.3 24.02.0-1ubuntu9.4
2025-05-05 06:50:26 status half-configured poppler-utils:amd64 24.02.0-1ubuntu9.3
2025-05-05 06:50:26 status unpacked poppler-utils:amd64 24.02.0-1ubuntu9.3
2025-05-05 06:50:26 status half-installed poppler-utils:amd64 24.02.0-1ubuntu9.3
2025-05-05 06:50:26 status unpacked poppler-utils:amd64 24.02.0-1ubuntu9.4
2025-05-05 06:50:26 upgrade libpoppler-glib8t64:amd64 24.02.0-1ubuntu9.3 24.02.0-1ubuntu9.4
2025-05-05 06:50:26 status half-configured libpoppler-glib8t64:amd64 24.02.0-1ubuntu9.3
2025-05-05 06:50:26 status unpacked libpoppler-glib8t64:amd64 24.02.0-1ubuntu9.3
2025-05-05 06:50:26 status half-installed libpoppler-glib8t64:amd64 24.02.0-1ubuntu9.3
2025-05-05 06:50:26 status unpacked libpoppler-glib8t64:amd64 24.02.0-1ubuntu9.4
2025-05-05 06:50:26 upgrade libpoppler-cpp0t64:amd64 24.02.0-1ubuntu9.3 24.02.0-1ubuntu9.4
2025-05-05 06:50:26 status half-configured libpoppler-cpp0t64:amd64 24.02.0-1ubuntu9.3
2025-05-05 06:50:26 status unpacked libpoppler-cpp0t64:amd64 24.02.0-1ubuntu9.3
2025-05-05 06:50:26 status half-installed libpoppler-cpp0t64:amd64 24.02.0-1ubuntu9.3
2025-05-05 06:50:26 status unpacked libpoppler-cpp0t64:amd64 24.02.0-1ubuntu9.4
2025-05-05 06:50:26 upgrade libpoppler134:amd64 24.02.0-1ubuntu9.3 24.02.0-1ubuntu9.4
2025-05-05 06:50:26 status half-configured libpoppler134:amd64 24.02.0-1ubuntu9.3
2025-05-05 06:50:26 status unpacked libpoppler134:amd64 24.02.0-1ubuntu9.3
2025-05-05 06:50:26 status half-installed libpoppler134:amd64 24.02.0-1ubuntu9.3
2025-05-05 06:50:26 status unpacked libpoppler134:amd64 24.02.0-1ubuntu9.4
2025-05-05 06:50:26 upgrade xserver-xorg-input-libinput:amd64 1.4.0-1build1 1.4.0-1ubuntu24.04.1
2025-05-05 06:50:26 status half-configured xserver-xorg-input-libinput:amd64 1.4.0-1build1
2025-05-05 06:50:26 status unpacked xserver-xorg-input-libinput:amd64 1.4.0-1build1
2025-05-05 06:50:26 status half-installed xserver-xorg-input-libinput:amd64 1.4.0-1build1
2025-05-05 06:50:26 status unpacked xserver-xorg-input-libinput:amd64 1.4.0-1ubuntu24.04.1
2025-05-05 06:50:26 upgrade xwayland:amd64 2:23.2.6-1ubuntu0.4 2:23.2.6-1ubuntu0.5
2025-05-05 06:50:26 status half-configured xwayland:amd64 2:23.2.6-1ubuntu0.4
2025-05-05 06:50:26 status unpacked xwayland:amd64 2:23.2.6-1ubuntu0.4
2025-05-05 06:50:26 status half-installed xwayland:amd64 2:23.2.6-1ubuntu0.4
